"","AGI","probe_id","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","GO","PATH","oma_id","level","level_name","araID"
"11215","AT4G04460","255345_at",0.013135,0.00135,-5.2,-1.065911,-0.257,"AT4G04460","aspartic proteinase A3","GO:0006508; GO:0030163; GO:0046686; GO:0005576; GO:0004190",NA,15189838,2,"Eukaryota","ARATH25872"
"11216","AT4G04470","255338_at",0.27246,0.105,-1.87,-5.655046,-0.168,"PMP22","peroxisomal membrane protein PMP22","GO:0008150; GO:0005737; GO:0005739; GO:0005778",NA,15189840,2,"Eukaryota","ARATH25874"
"11217","AT4G04480","255339_at",0.751863,0.551,-0.627,-7.040601,-0.0302,"AT4G04480","hypothetical protein","GO:0009507",NA,15189841,5,"Embryophyta","ARATH25875"
"11218","AT4G04490","255340_at",0.001351,2.96e-05,-9.75,3.068705,-0.496,"CRK36","cysteine-rich receptor-like protein kinase 36","GO:0006468; GO:0009737; GO:0005576; GO:0005886; GO:0004674; GO:0005515; GO:0016301",NA,15189842,13,"Brassicaceae","ARATH25876"
"11219","AT4G04500","255341_at",0.753131,0.553,-0.624,-7.042155,-0.0215,"CRK37","cysteine-rich receptor-like protein kinase 37","GO:0006468; GO:0005576; GO:0005886; GO:0004674; GO:0016301",NA,15189844,9,"Mesangiospermae","ARATH25878"
"11220","AT4G04510","255342_at",0.555138,0.317,1.08,-6.645783,0.0655,"CRK38","cysteine-rich receptor-like protein kinase 38","GO:0006468; GO:0005886; GO:0009507; GO:0004674; GO:0016301",NA,15189845,9,"Mesangiospermae","ARATH25879"
"11221","AT4G04610","255284_at",0.73695,0.531,-0.66,-7.017917,-0.205,"1-Apr","5'-adenylylsulfate reductase 1","GO:0000103; GO:0019419; GO:0045454; GO:0055114; GO:0009507; GO:0009536; GO:0009570; GO:0009973; GO:0033741",NA,15189858,2,"Eukaryota","ARATH25892"
"11222","AT4G04620","255283_at",0.967785,0.927,0.0945,-7.253341,0.00846,"ATG8B","autophagy-related protein 8b","GO:0006995; GO:0005515",NA,15189860,2,"Eukaryota","ARATH25894"
"11223","AT4G04630","255285_at",0.017704,0.00211,-4.8,-1.546045,-0.449,"AT4G04630","hypothetical protein","GO:0008150; GO:0005634; GO:0003674",NA,15189861,8,"Magnoliopsida","ARATH25895"
"11224","AT4G04640","255290_at",0.681245,0.457,0.788,-6.919814,0.0304,"ATPC1","ATP synthase gamma chain 1","GO:0006754; GO:0009772; GO:0015986; GO:0000275; GO:0005829; GO:0009507; GO:0009534; GO:0009535; GO:0009544; GO:0009579; GO:0009941; GO:0005515; GO:0030234","00190; 00195; 01100",15189863,1,"LUCA","ARATH25897"
"11225","AT4G04670","255288_at",0.126562,0.0358,2.61,-4.571492,0.0974,"AT4G04670","Met-10+ like family protein / kelch repeat-containing protein","GO:0030488; GO:0031591; GO:0005737; GO:0008175; GO:0102522",NA,15189865,2,"Eukaryota","ARATH25899"
"11226","AT4G04730","255293_at",0.990171,0.977,0.0295,-7.257933,0.00102,"AT4G04730","hypothetical protein","GO:0008150; GO:0005634; GO:0003674",NA,15189876,14,"Arabidopsis","ARATH25910"
"11227","AT4G04740","255306_at",0.259335,0.0981,-1.91,-5.586407,-0.119,"CPK23","calcium-dependent protein kinase 23","GO:0018105; GO:0035556; GO:0046686; GO:0046777; GO:0005634; GO:0005737; GO:0005886; GO:0004672; GO:0004683; GO:0005509; GO:0005515; GO:0005516; GO:0009931; GO:0019903","04626",15189877,2,"Eukaryota","ARATH25911"
"11228","AT4G04750","255294_at",0.344174,0.148,-1.63,-5.979683,-0.0737,"AT4G04750","sugar transporter ERD6-like 14","GO:0046323; GO:0005887; GO:0009507; GO:0005351; GO:0015144",NA,15189880,12,"malvids","ARATH25914"
"11229","AT4G04760","255295_at",0.964366,0.918,-0.107,-7.251947,-0.00583,"AT4G04760","sugar transporter ERD6-like 15","GO:0009507; GO:0015144",NA,15189884,12,"malvids","ARATH25918"
"11230","AT4G04770","255305_at",0.025711,0.00366,-4.33,-2.146142,-0.368,"ABC1","ATP binding cassette protein 1","GO:0006879; GO:0016226; GO:2000030; GO:0009507; GO:0009570; GO:0005515; GO:0022857; GO:0042626",NA,15189885,1,"LUCA","ARATH25919"
"11231","AT4G04790","255296_at",0.045156,0.00828,3.67,-3.026128,0.119,"AT4G04790","pentatricopeptide repeat-containing protein","GO:0008150; GO:0005739; GO:0003674",NA,15189890,8,"Magnoliopsida","ARATH25924"
"11232","AT4G04830","255302_at",0.953486,0.893,-0.14,-7.247297,-0.0508,"MSRB5","peptide methionine sulfoxide reductase B5","GO:0006979; GO:0030091; GO:0005829; GO:0009507; GO:0033743",NA,15189894,1,"LUCA","ARATH25928"
"11233","AT4G04840","255298_at",0.80339,0.626,0.51,-7.112903,0.0309,"MSRB6","methionine sulfoxide reductase B6","GO:0006979; GO:0030091; GO:0005739; GO:0005829; GO:0033743",NA,15189896,13,"Brassicaceae","ARATH25930"
"11234","AT4G04850","255304_at",0.17581,0.0564,-2.29,-5.036774,-0.176,"KEA3","K+ efflux antiporter 3","GO:0009643; GO:0009658; GO:0010109; GO:1905157; GO:0005739; GO:0009507; GO:0009535; GO:0016020; GO:0042651; GO:0015079; GO:0015299; GO:0015386",NA,15189898,2,"Eukaryota","ARATH25932"
"11235","AT4G04860","255303_at",0.106225,0.0278,-2.78,-4.311743,-0.165,"DER2.2","derlin-2.2","GO:0030433; GO:0030968; GO:0000839; GO:0030176; GO:0051787; GO:1990381","04141",15189899,2,"Eukaryota","ARATH25933"
"11236","AT4G04870","255300_at",0.040233,0.00703,3.8,-2.850804,0.197,"CLS","cardiolipin synthase","GO:0032049; GO:0046474; GO:0005739; GO:0008808; GO:0030145","00564; 01100",15189900,8,"Magnoliopsida","ARATH25934"
"11237","AT4G04880","255299_at",0.591503,0.356,-0.99,-6.736198,-0.038,"AT4G04880","adenosine deaminase-like protein","GO:0006401; GO:0005829; GO:0009507; GO:0019239","00230; 01100",15189901,2,"Eukaryota","ARATH25935"
"11238","AT4G04900","255307_at",0.696359,0.475,0.755,-6.945952,0.0271,"RIC10","ROP-interactive CRIB motif-containing protein 10","GO:0009860; GO:0005634; GO:0005737; GO:0003674",NA,15189906,10,"Pentapetalae","ARATH25940"
"11239","AT4G04910","255308_at",0.025397,0.0036,4.34,-2.128182,0.214,"NSF","N-ethylmaleimide sensitive factor","GO:0006891; GO:0035494; GO:0043001; GO:0048211; GO:0005737; GO:0005773; GO:0005794; GO:0005795; GO:0005829; GO:0005886; GO:0009506; GO:0005515; GO:0016887",NA,15189907,2,"Eukaryota","ARATH25941"
"11240","AT4G04920","255309_at",0.621813,0.39,-0.917,-6.806261,-0.0452,"SFR6","mediator of RNA polymerase II transcription subunit 16","GO:0006355; GO:0006970; GO:0009631; GO:0010104; GO:0032922; GO:0048364; GO:0048586; GO:1901672; GO:1902066; GO:2000022; GO:2001009; GO:0005634; GO:0003674",NA,15189908,4,"Streptophyta","ARATH25942"
"11241","AT4G04940","255278_at",0.010996,0.00105,5.44,-0.784234,0.379,"AT4G04940","transducin/WD40 domain-containing protein","GO:0006364; GO:0005634; GO:0032040; GO:0034388; GO:0080008","03008",15189914,2,"Eukaryota","ARATH25948"
"11242","AT4G04950","255279_at",0.171129,0.0544,2.32,-4.999731,0.147,"AT4G04950","monothiol glutaredoxin-S17","GO:0006879; GO:0006974; GO:0009408; GO:0009926; GO:0045454; GO:0051726; GO:0072593; GO:0005634; GO:0005737; GO:0005829; GO:0005515; GO:0009055; GO:0015035",NA,15189915,2,"Eukaryota","ARATH25949"
"11243","AT4G04955","255310_at",0.05391,0.0106,-3.48,-3.294093,-0.455,"ALN","allantoinase","GO:0000256; GO:0006145; GO:0006995; GO:0010136; GO:0005737; GO:0005783; GO:0009507; GO:0004038; GO:0008270; GO:0050897","00230; 01100",15189916,2,"Eukaryota","ARATH25950"
"11244","AT4G04960","255280_at",0.136657,0.0399,-2.53,-4.685267,-0.1,"AT4G04960","concanavalin A-like lectin kinase-like protein","GO:0006468; GO:0005886; GO:0009507; GO:0016301",NA,15189920,7,"Spermatophyta","ARATH25954"
"11245","AT4G04970","255281_at",0.584926,0.349,-1.01,-6.720088,-0.0626,"GSL1","glucan synthase-like 1","GO:0000003; GO:0006075; GO:0007623; GO:0009555; GO:0005739; GO:0005886; GO:0003843; GO:0016757; GO:0046527",NA,15189921,2,"Eukaryota","ARATH25955"
"11246","AT4G04980","255251_at",0.953083,0.892,-0.141,-7.24703,-0.00585,"AT4G04980","hypothetical protein","GO:0009658; GO:0005634; GO:0009707; GO:0003674",NA,15189925,8,"Magnoliopsida","ARATH25959"
"11247","AT4G04990","255252_at",0.383789,0.175,-1.52,-6.130226,-0.0542,"AT4G04990","hypothetical protein","GO:0008150; GO:0003674",NA,15189927,13,"Brassicaceae","ARATH25961"
"11248","AT4G05000","255253_at",0.710967,0.495,-0.721,-6.972533,-0.0316,"VPS28-2","vacuolar protein sorting-associated protein 28-2","GO:0043328; GO:0000813; GO:0005634; GO:0005829; GO:0005515; GO:0044877","04144",15189928,2,"Eukaryota","ARATH25962"
"11249","AT4G05020","255259_at",0.240725,0.088,-1.99,-5.479818,-0.0993,"NDB2","NAD(P)H dehydrogenase B2","GO:0010230; GO:0005739; GO:0031314; GO:0003954; GO:0005509; GO:0009916","00190",15189931,2,"Eukaryota","ARATH25965"
"11250","AT4G05030","255254_at",0.935159,0.854,-0.19,-7.237793,-0.00825,"AT4G05030","putative copper transport protein","GO:0008150; GO:0005575; GO:0003674",NA,15189933,10,"Pentapetalae","ARATH25967"
"11251","AT4G05050","255257_at",0.912009,0.808,-0.253,-7.222183,-0.038,"UBQ14///UBQ11","polyubiquitin 14///ubiquitin 11","GO:0006511; GO:0016567; GO:0019941; GO:0005622; GO:0005634; GO:0005737; GO:0005829; GO:0031386; GO:0031625",NA,15189936,2,"Eukaryota","ARATH25970"
"11252","AT4G05060","255258_at",0.968122,0.929,-0.0928,-7.253522,-0.00649,"AT4G05060","vesicle-associated protein 4-3","GO:0061817; GO:0090158; GO:0005789; GO:0005886",NA,15189938,5,"Embryophyta","ARATH25972"
"11253","AT4G05070","255255_at",0.011408,0.00111,-5.39,-0.844162,-0.631,"AT4G05070","Wound-responsive family protein","GO:0008150; GO:0005634; GO:0005886; GO:0003674",NA,15189939,13,"Brassicaceae","ARATH25973"
"11254","AT4G05080","255256_at",0.778164,0.588,0.569,-7.078323,0.021,"AT4G05080","F-box/kelch-repeat protein","GO:0008150; GO:0003674",NA,15189941,13,"Brassicaceae","ARATH25975"
"11255","AT4G05090","255249_at",0.966967,0.925,0.0973,-7.253035,0.00376,"AT4G05090","Inositol monophosphatase family protein","GO:0000103; GO:0046855; GO:0005634; GO:0009507; GO:0008441; GO:0042578","00920; 01100",15189942,4,"Streptophyta","ARATH25976"
"11256","AT4G05100","255250_at",0.194415,0.0648,-2.2,-5.176121,-0.156,"MYB74","myb domain protein 74","GO:0009737; GO:0030154; GO:0005634; GO:0003700; GO:0005515; GO:0043565",NA,15189947,10,"Pentapetalae","ARATH25981"
"11257","AT4G05150","255221_at",0.23262,0.0835,-2.02,-5.429043,-0.335,"AT4G05150","Octicosapeptide/Phox/Bem1p family protein","GO:0046777; GO:0005634; GO:0005829; GO:0004674",NA,15189953,10,"Pentapetalae","ARATH25987"
"11258","AT4G05160","255263_at",0.693093,0.472,0.762,-6.940673,0.0372,"AT4G05160","4-coumarate--CoA ligase-like 7","GO:0009695; GO:0005739; GO:0005777; GO:0004321; GO:0016207; GO:0016405","00130; 00360; 00940; 01100; 01110",15189954,2,"Eukaryota","ARATH25988"
"11259","AT4G05180","255248_at",0.413742,0.196,-1.43,-6.236451,-0.129,"PSBQ-2","photosystem II subunit Q-2","GO:0009767; GO:0018119; GO:0005829; GO:0009507; GO:0009534; GO:0009535; GO:0009543; GO:0009570; GO:0009579; GO:0009654; GO:0019898; GO:0031977; GO:0048046; GO:0005509; GO:0045156","00195; 01100",15189961,4,"Streptophyta","ARATH25995"
"11260","AT4G05190","255265_at",0.012783,0.0013,5.24,-1.019229,0.445,"ATK5","kinesin 5","GO:0000226; GO:0007018; GO:0051225; GO:0005634; GO:0005871; GO:0005874; GO:0005876; GO:0003777; GO:0008017; GO:0016887",NA,15189962,3,"Viridiplantae","ARATH25996"
"11261","AT4G05210","255267_at",0.591401,0.356,0.99,-6.735994,0.0323,"AT4G05210","probable UDP-3-O-acylglucosamine N-acyltransferase 1","GO:0005739; GO:0009507",NA,15189966,2,"Eukaryota","ARATH26000"
"11262","AT4G05230","255268_at",0.954944,0.896,0.135,-7.248033,0.00664,"AT4G05230","ubiquitin family protein","GO:0043161; GO:0005634; GO:0005654; GO:0005829; GO:0031593; GO:0043130; GO:0070628",NA,15189970,9,"Mesangiospermae","ARATH26004"
"11263","AT4G05250","255270_at",0.659025,0.431,-0.836,-6.879041,-0.0309,"AT4G05250","ubiquitin family protein","GO:0043161; GO:0005634; GO:0005654; GO:0005829; GO:0031593; GO:0043130; GO:0070628",NA,15189972,14,"Arabidopsis","ARATH26006"
"11264","AT4G05310","255275_at",0.954402,0.895,0.137,-7.247715,0.005,"AT4G05310","ubiquitin family protein","GO:0043161; GO:0005634; GO:0005654; GO:0005829; GO:0031593; GO:0043130; GO:0070628",NA,15189975,14,"Arabidopsis","ARATH26009"
"11265","AT4G05320","255220_at",0.214541,0.0744,2.1,-5.314089,0.15,"UBQ14///UBQ10///UBQ11","polyubiquitin 14///polyubiquitin 10///ubiquitin 11","GO:0006464; GO:0007568; GO:0009751; GO:0016567; GO:0019941; GO:0005634; GO:0005737; GO:0005829; GO:0031386; GO:0031625",NA,15189979,2,"Eukaryota","ARATH26013"
"11266","AT4G05330","255232_at",0.074211,0.0168,-3.14,-3.783593,-0.152,"AGD13","putative ADP-ribosylation factor GTPase-activating protein AGD13","GO:0009555; GO:0005634",NA,15189984,2,"Eukaryota","ARATH26018"
"11267","AT4G05390","255230_at",0.002926,0.000125,7.77,1.526933,0.569,"RFNR1","ferredoxin--NADP reductase, root isozyme 1","GO:0009507; GO:0004324; GO:0005507","00195; 01100",15189989,1,"LUCA","ARATH26023"
"11268","AT4G05400","255224_at",0.000656,6.9e-06,12.2,4.588383,0.53,"AT4G05400","copper ion binding protein","GO:0008150; GO:0005739; GO:0005761; GO:0005762; GO:0005829; GO:0009507; GO:0005507",NA,15189991,5,"Embryophyta","ARATH26025"
"11269","AT4G05410","255225_at",0.000493,3.21e-06,13.7,5.364054,0.57,"YAO","WD40-repeats containing protein YAOZHE","GO:0009553; GO:0009793; GO:0060321; GO:0005634; GO:0005730; GO:0032040; GO:0080008; GO:0030515; GO:0034511",NA,15189992,2,"Eukaryota","ARATH26026"
"11270","AT4G05420","255226_at",0.546882,0.31,1.1,-6.625709,0.0855,"DDB1A","DNA damage-binding protein 1a","GO:0006289; GO:0010100; GO:0016567; GO:0043161; GO:0045892; GO:0005634; GO:0005829; GO:0031461; GO:0080008; GO:0003684; GO:0005515","03420; 04120",15189993,2,"Eukaryota","ARATH26027"
"11271","AT4G05440","255227_at",0.001495,3.66e-05,9.43,2.841753,0.412,"EDA35","protein EMBRYO SAC DEVELOPMENT ARREST 35","GO:0006260; GO:0010197; GO:0051726; GO:0071897; GO:0005634; GO:0005737; GO:0032153; GO:0043073; GO:0003674",NA,15189998,2,"Eukaryota","ARATH26032"
"11272","AT4G05450","255233_at",0.009089,0.000782,5.73,-0.46737,0.296,"MFDX1","mitochondrial ferredoxin 1","GO:0022900; GO:0048868; GO:0005739; GO:0005829; GO:0009055",NA,15190000,4,"Streptophyta","ARATH26034"
"11273","AT4G05460","255231_at",0.182321,0.0594,2.26,-5.088627,0.127,"AT4G05460","F-box protein SKIP19","GO:0006511; GO:0016567; GO:0005634; GO:0005737; GO:0005515",NA,15190001,10,"Pentapetalae","ARATH26035"
"11274","AT4G05470","255228_at",0.335132,0.143,-1.66,-5.943534,-0.0736,"AT4G05470","RNI-like superfamily protein",NA,NA,15190002,10,"Pentapetalae","ARATH26036"
"11275","AT4G05490","255229_at",0.764516,0.569,0.599,-7.059042,0.0236,"AT4G05490","putative F-box/LRR-repeat protein 22","GO:0006511; GO:0005634",NA,15190004,14,"Arabidopsis","ARATH26038"
"11276","AT4G05520","255236_at",0.056332,0.0114,3.43,-3.366107,0.452,"EHD2","EPS15 homology domain 2 protein","GO:0006897; GO:0016197; GO:0005737; GO:0005886; GO:0009506; GO:0016020; GO:0043231",NA,15190006,2,"Eukaryota","ARATH26040"
"11277","AT4G05530","255240_at",0.870182,0.733,0.355,-7.18707,0.037,"IBR1","short-chain dehydrogenase/reductase A","GO:0048767; GO:0080024; GO:0080026; GO:0005777; GO:0005829; GO:0009507","01100; 04146",15190009,2,"Eukaryota","ARATH26043"
"11278","AT4G05590","255243_at",0.211404,0.0728,-2.12,-5.292766,-0.195,"AT4G05590","hypothetical protein","GO:0006850; GO:0010360; GO:1901017; GO:2000070; GO:0005739; GO:0009507; GO:0031305; GO:0005515; GO:0050833",NA,15190013,2,"Eukaryota","ARATH26047"
"11279","AT4G05630","255245_at",0.50242,0.269,1.2,-6.509162,0.0473,"AT4G05630","hypothetical protein","GO:0005634",NA,15190019,13,"Brassicaceae","ARATH26053"
"11280","AT4G07390","255199_at",0.945411,0.874,0.165,-7.24299,0.0124,"AT4G07390","mannose-P-dolichol utilization defect 1 protein",NA,NA,15190045,2,"Eukaryota","ARATH26079"
"11281","AT4G07400","255193_at",0.712107,0.496,-0.719,-6.974112,-0.0259,"VFB3","VIER F-box protein 3","GO:0006511; GO:0016567; GO:0031146; GO:0005737; GO:0019005; GO:0004842",NA,15190046,5,"Embryophyta","ARATH26080"
"11282","AT4G07410","255194_at",0.058977,0.0122,3.38,-3.440653,0.204,"AT4G07410","WD-40 protein PCN","GO:0009793; GO:0010073; GO:0010305; GO:0010311; GO:0010449; GO:0035266; GO:0048366; GO:0090696; GO:2000012; GO:0005634",NA,15190047,2,"Eukaryota","ARATH26081"
"11283","AT4G07515","255207_at",0.654736,0.426,0.846,-6.870132,0.0491,"AT4G07515","hypothetical protein","GO:0008150; GO:0003674",NA,15190052,14,"Arabidopsis","ARATH26086"
"11284","AT4G07940","255169_x_at",0.311267,0.128,1.73,-5.838826,0.062,"AT4G07940","hypothetical protein","GO:0008150; GO:0005575; GO:0003674",NA,15190065,7,"Spermatophyta","ARATH26099"
"11285","AT4G07960","255175_at",0.575925,0.339,1.03,-6.697313,0.0527,"CSLC12","Cellulose-synthase-like C12","GO:0005794; GO:0009506; GO:0016757; GO:0016759",NA,15190067,5,"Embryophyta","ARATH26101"
"11286","AT4G07990","255171_at",0.854315,0.706,-0.394,-7.170967,-0.0188,"AT4G07990","chaperone DnaJ-domain containing protein","GO:0006952; GO:0005634",NA,15190070,8,"Magnoliopsida","ARATH26104"
"11287","AT4G08040","255177_at",0.866656,0.727,-0.363,-7.183823,-0.0125,"ACS11","1-aminocyclopropane-1-carboxylate synthase 11","GO:0009693; GO:0005737; GO:0005515; GO:0016847; GO:0030170","00270; 01100; 01110",15190076,2,"Eukaryota","ARATH26110"
"11288","AT4G08150","255149_at",0.260204,0.0986,1.91,-5.590898,0.221,"KNAT1","homeobox protein knotted-1-like 1","GO:0001708; GO:0006357; GO:0010051; GO:0010089; GO:0045165; GO:0005634; GO:0000978; GO:0000981; GO:0003700; GO:0005515",NA,15190079,8,"Magnoliopsida","ARATH26113"
"11289","AT4G08160","255150_at",0.059885,0.0125,-3.36,-3.465251,-0.227,"AT4G08160","putative glycosyl hydrolase family 10 protein","GO:0005576; GO:0031176",NA,15190080,4,"Streptophyta","ARATH26114"
"11290","AT4G08170","255132_at",0.590732,0.355,-0.992,-6.733937,-0.0906,"AT4G08170","inositol-tetrakisphosphate 1-kinase 2","GO:0009611; GO:0016310; GO:0032957; GO:0052746; GO:0005634; GO:0005737; GO:0000287; GO:0047325; GO:0052725; GO:0052726","00562; 01100; 04070",15190083,2,"Eukaryota","ARATH26117"
"11291","AT4G08180","255151_at",0.324895,0.136,1.69,-5.896436,0.113,"ORP1C","OSBP(oxysterol binding protein)-related protein 1C","GO:0007165; GO:0005634; GO:0005829; GO:0016020; GO:0043231; GO:0008289; GO:0015248; GO:0032934; GO:0035091",NA,15190085,4,"Streptophyta","ARATH26119"
"11292","AT4G08210","255153_at",0.957235,0.902,0.128,-7.249117,0.00515,"AT4G08210","pentatricopeptide repeat-containing protein","GO:0009451; GO:0005739; GO:0043231",NA,15190089,8,"Magnoliopsida","ARATH26123"
"11293","AT4G08240","255130_at",0.28222,0.111,1.83,-5.703622,0.102,"AT4G08240","hypothetical protein","GO:0005829",NA,15190092,5,"Embryophyta","ARATH26126"
"11294","AT4G08250","255125_at",0.361072,0.159,1.58,-6.046426,0.0722,"AT4G08250","scarecrow-like protein 26","GO:0006355; GO:0005634; GO:0003700; GO:0043565",NA,15190093,6,"Tracheophyta","ARATH26127"
"11295","AT4G08280","255131_at",0.515615,0.28,1.17,-6.544801,0.12,"AT4G08280","thioredoxin superfamily protein","GO:0005634; GO:0009507; GO:0003674",NA,15190100,3,"Viridiplantae","ARATH26134"
"11296","AT4G08290","255129_at",0.779669,0.59,0.566,-7.080097,0.0253,"AT4G08290","nodulin MtN21 /EamA-like transporter family protein","GO:0005886; GO:0022857",NA,15190101,10,"Pentapetalae","ARATH26135"
"11297","AT4G08300","255127_at",0.027979,0.00414,-4.22,-2.279245,-0.407,"AT4G08300","nodulin MtN21 /EamA-like transporter family protein","GO:0005886; GO:0022857",NA,15190103,10,"Pentapetalae","ARATH26137"
"11298","AT4G08310","255128_at",0.468146,0.24,-1.29,-6.411972,-0.134,"AT4G08310","hypothetical protein","GO:0008150; GO:0005634",NA,15190104,4,"Streptophyta","ARATH26138"
"11299","AT4G08330","255134_at",0.117285,0.0321,-2.68,-4.459953,-0.253,"AT4G08330","hypothetical protein","GO:0008150; GO:0005634; GO:0005886; GO:0003674",NA,15190107,5,"Embryophyta","ARATH26141"
"11300","AT4G08370","255137_at",0.977201,0.949,0.0663,-7.255922,0.00225,"AT4G08370","Proline-rich extensin-like family protein","GO:0009664; GO:0005199",NA,15190111,13,"Brassicaceae","ARATH26145"
"11301","AT4G08380","255138_at",0.697669,0.477,-0.753,-6.948094,-0.0338,"AT4G08380","Proline-rich extensin-like family protein","GO:0008150; GO:0005575; GO:0003674",NA,15190112,2,"Eukaryota","ARATH26146"
"11302","AT4G08390","255142_at",0.002039,6.45e-05,8.63,2.237383,0.531,"SAPX","L-ascorbate peroxidase S","GO:0000302; GO:0034599; GO:0042744; GO:0005739; GO:0005829; GO:0009507; GO:0009570; GO:0004601; GO:0016688; GO:0020037","00053; 00480",15190115,2,"Eukaryota","ARATH26149"
"11303","AT4G08450","255146_at",0.681501,0.458,0.787,-6.92019,0.0369,"AT4G08450","TIR-NBS-LRR class disease resistance protein","GO:0007165; GO:0043531",NA,15190124,14,"Arabidopsis","ARATH26158"
"11304","AT4G08460","255147_at",0.355074,0.155,1.6,-6.024115,0.118,"AT4G08460","hypothetical protein","GO:0008150; GO:0005634",NA,15190127,9,"Mesangiospermae","ARATH26161"
"11305","AT4G08480","255121_at",0.647155,0.418,-0.863,-6.855743,-0.0579,"MAPKKK9","mitogen-activated protein kinase kinase kinase 9","GO:0007346; GO:0022622; GO:0023014; GO:0031098; GO:0031347; GO:0032147; GO:1902065; GO:0005634; GO:0005737; GO:0004674; GO:0004707; GO:0005515",NA,15190131,9,"Mesangiospermae","ARATH26165"
"11306","AT4G08500","255095_at",0.150161,0.0455,-2.44,-4.819686,-0.13,"MEKK1","mitogen-activated protein kinase kinase kinase 1","GO:0000165; GO:0006970; GO:0007346; GO:0009409; GO:0009611; GO:0009631; GO:0009651; GO:0010449; GO:0022622; GO:0023014; GO:0031098; GO:0032147; GO:0046686; GO:0046777; GO:1902065; GO:0005634; GO:0005737; GO:0005768; GO:0005886; GO:0003677; GO:0004674; GO:0004709; GO:0005515; GO:0019900","04626",15190133,9,"Mesangiospermae","ARATH26167"
"11307","AT4G08530","255123_at",0.951618,0.889,-0.145,-7.246532,-0.00608,"AT4G08530","bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","GO:0005576; GO:0016020",NA,15190137,14,"Arabidopsis","ARATH26171"
"11308","AT4G08590","255094_at",0.242659,0.0889,1.98,-5.49025,0.0958,"ORTHL","E3 ubiquitin-protein ligase ORTHRUS-LIKE 1","GO:0010216; GO:0016567; GO:0005634; GO:0005720; GO:0005737; GO:0004842; GO:0061630",NA,15190151,3,"Viridiplantae","ARATH26185"
"11309","AT4G08620","255105_at",0.808439,0.633,0.5,-7.118364,0.0224,"SULTR1;1","sulfate transporter 1.1","GO:0008272; GO:0080160; GO:1902358; GO:0005887; GO:0008271; GO:0015116; GO:0015301",NA,15190155,2,"Eukaryota","ARATH26189"
"11310","AT4G08670","255101_at",0.777964,0.587,0.569,-7.077927,0.0273,"AT4G08670","bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein","GO:0006869; GO:0005886; GO:0031225; GO:0008289",NA,15190159,13,"Brassicaceae","ARATH26193"
"11311","AT4G08685","255104_at",0.006903,0.00051,6.16,-0.000486,0.443,"SAH7","protein SAH7","GO:0008150; GO:0005576; GO:0003674",NA,15190160,7,"Spermatophyta","ARATH26194"
"11312","AT4G08690","255103_at",0.727044,0.518,0.682,-7.001769,0.0307,"AT4G08690","Sec14p-like phosphatidylinositol transfer family protein","GO:0008526",NA,15190161,6,"Tracheophyta","ARATH26195"
"11313","AT4G08770","255110_at",0.005113,0.000312,6.69,0.532569,2.27,"AT4G08770","peroxidase 37","GO:0006979; GO:0045926; GO:0005576; GO:0005773; GO:0004601; GO:0020037","00360; 00940; 01100; 01110",15190167,9,"Mesangiospermae","ARATH26201"
"11314","AT4G08780","255111_at",0.003309,0.000151,7.54,1.322825,1.5,"AT4G08780","peroxidase 38","GO:0006979; GO:0005576; GO:0005773; GO:0004601; GO:0020037","00360; 00940; 01100; 01110",15190168,9,"Mesangiospermae","ARATH26202"
"11315","AT4G08790","255118_at",0.197821,0.0664,2.18,-5.201428,0.106,"AT4G08790","Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase family protein","GO:0006807; GO:0046686; GO:0110051; GO:0005737; GO:0009507; GO:0009536; GO:0110050",NA,15190169,2,"Eukaryota","ARATH26203"
"11316","AT4G08800","255112_at",0.857534,0.712,0.385,-7.174673,0.0153,"AT4G08800","protein kinase family protein","GO:0018105; GO:0005634; GO:0005737; GO:0005886; GO:0004674",NA,15190170,7,"Spermatophyta","ARATH26204"
"11317","AT4G08840","255115_at",0.981933,0.96,-0.0517,-7.256908,-0.00174,"PUM11","pumilio 11","GO:0010608; GO:0005737; GO:0003729",NA,15190172,13,"Brassicaceae","ARATH26206"
"11318","AT4G08850","255116_at",0.86838,0.73,0.359,-7.185526,0.0252,"AT4G08850","probable LRR receptor-like serine/threonine-protein kinase","GO:0006468; GO:0009755; GO:0010183; GO:0005886; GO:0009506; GO:0090406; GO:0005515; GO:0016301",NA,15190173,10,"Pentapetalae","ARATH26207"
